,game_code,notes,lootfilter_code
,ac,,STAT31
,ac-miss,,STAT32
,ac-hth,,
,red-dmg,,STAT34
,red-dmg%,,STAT36
,ac%,,STAT16
,red-mag,,STAT35
x,str,,STR
x,dex,,DEX
x,vit,,STAT3
x,enr,,STAT1
,mana,,MANA
,mana%,,
,hp,,LIFE
,hp%,,
,att,,STAT19
,block,,STAT20
,cold-min,,
,cold-max,,
,cold-len,,
,fire-min,,
,fire-max,,
,ltng-min,,
,ltng-max,,
,pois-min,,
,pois-max,,
,pois-len,,STAT110
,dmg-min,,MINDMG
,dmg-max,,MAXDMG
,dmg%,,ED
,dmg-to-mana,,
,res-fire,,FRES
,res-fire-max,,
,res-ltng,,LRES
,res-ltng-max,,
,res-cold,,CRES
,res-cold-max,,
,res-mag,,
,res-mag-max,,
,res-pois,,PRES
,res-pois-max,,
,res-all,,RES
,res-all-max,,
,abs-fire%,,STAT142
,abs-fire,,STAT143
,abs-ltng%,,STAT144
,abs-ltng,,STAT145
,abs-mag%,,STAT146
,abs-mag,,STAT147
,abs-cold%,,STAT148
,abs-cold,,STAT149
,dur,,
,dur%,,
,regen,,
,thorns,,SK103
,swing1,,IAS
,swing2,,IAS
,swing3,,IAS
,gold%,,GFIND
,mag%,,MFIND
,knock,,
,regen-stam,,
,regen-mana,,
,stam,,STAT11
,time,,
,manasteal,,STAT62
,lifesteal,,
,ama,,CLSK0
,pal,,CLSK3
,nec,,CLSK2
,sor,,CLSK1
,bar,,CLSK4
,herb,,
,light,,STAT89
,color,,
,ease,,
,move1,,FRW
,move2,,FRW
,move3,,FRW
,balance1,,FHR
,balance2,,FHR
,balance3,,FHR
,block1,,FBR
,block2,,FBR
,block3,,FBR
,cast1,,FCR
,cast2,,FCR
,cast3,,FCR
,res-pois-len,,
,dmg,,
,howl,,
,stupidity,,
,ignore-ac,,
,reduce-ac,,
,noheal,,
,half-freeze,,
,att%,,STAT119
,dmg-ac,,
,dmg-demon,+N% Damage to Demons,STAT121
,dmg-undead,+N% Damage to Undead,STAT122
,att-demon,+N to Attack Rating against Demons,STAT123
,att-undead,+N to Attack Rating against Undead,STAT124
,throw,,
,fireskill,,
,allskills,,ALLSK
,light-thorns,,
,freeze,,
,openwounds,,
,crush,,STAT247
,kick,,
,mana-kill,,MAEK
,demon-heal,,
,bloody,,
,deadly,,
,slow,,
,nofreeze,,
,stamdrain,,
,reanimate,,
,pierce,,
,magicarrow,,
,explosivearrow,,
,Expansion,,
,dru,All Druid Skills,CLSK5
,ass,All Assassin Skills,CLSK6
,skill,,
,skilltab,,
,aura,,
,att-skill,Proc Skill on Swing,
,hit-skill,Proc Skill on Hit,
,gethit-skill,Proc Skill on Get Hit,
,gembonus,Increase chance of finding Gems,
,regen-dur,,
,fire-fx,,
,ltng-fx,,
,sock,,SOCK
,dmg-fire,Fire Damage,
,dmg-ltng,Lightning Damage,
,dmg-mag,Magic Damge,
,dmg-cold,Cold Damage,
,dmg-pois,Poison Damage,
,dmg-throw,Throwing Damage,
,dmg-norm,Normal Damage Modifier,
,ac/lvl,AC per Player Level,STAT224
,ac%/lvl,AC% per Player Level,STAT225
,hp/lvl,HP per Player Level,
,mana/lvl,Mana per Player Level,
,dmg/lvl,Max Damage per Player Level,
,dmg%/lvl,Max Damage % per Player Level,
,str/lvl,Strength per Player Level,
,dex/lvl,Dexterity per Player Level,
,enr/lvl,Energy per Player Level,
,vit/lvl,Vitality per Player Level,
,att/lvl,Attack per Player Level,
,att%/lvl,Attack% per Player Level,
,dmg-cold/lvl,Max Cold Damage per Player Level,
,dmg-fire/lvl,Max Fire Damage per Player Level,
,dmg-ltng/lvl,Max Lightning Dmg per Player Level,
,dmg-pois/lvl,Max Poison Dmg per Player Level,
,res-cold/lvl,Resist Cold% per Player Level,
,res-fire/lvl,Resist Fire% per Player Level,
,res-ltng/lvl,Resist Lightning% per Player Level,
,res-pois/lvl,Resist Poison% per Player Level,
,abs-cold/lvl,Absorb Cold Dmg per Player Level,
,abs-fire/lvl,Absorb Fire Dmg per Player Level,
