Item ,Ilvl 1-25 ,Ilvl 26-40 ,Ilvl 41+ 
Bone Knife ,1,1,1
Buckler ,1,1,1
Burnt Wand ,1,1,1
Dagger ,1,1,1
Defender ,1,1,1
Dirk ,1,1,1
Mithril Point ,1,1,1
Poignard ,1,1,1
Rondel ,1,1,1
Wand ,1,1,1
Yew Wand ,1,1,1
Circlet ,1,2,2
Coronet ,1,2,2
Diadem ,1,2,3
Tiara ,1,2,3
Armet ,2,2,2
Ataghan ,2,2,2
Barbed Shield ,2,2,2
Basinet ,2,2,2
Battle Cestus ,2,2,2
Blade ,2,2,2
Bloodlord Skull ,2,2,2
Bone Helm ,2,2,2
Bone Shield ,2,2,2
Bone Wand ,2,2,2
Cantor Trophy ,2,2,2
Cap/hat ,2,2,2
Casque ,2,2,2
Cestus ,2,2,2
Chain Mail ,2,2,2
Club ,2,2,2
Cudgel ,2,2,2
Cutlass ,2,2,2
Demon Head ,2,2,2
Demonhide Armor ,2,2,2
Elegant Blade ,2,2,2
Falcata ,2,2,2
Falchion ,2,2,2
Fascia ,2,2,2
Fetish Trophy ,2,2,2
Field Plate ,2,2,2
Flanged Mace ,2,2,2
Full Helm ,2,2,2
Gargoyle Head ,2,2,2
Ghost Armor ,2,2,2
Ghost Wand ,2,2,2
Giant Conch ,2,2,2
Gladius ,2,2,2
Grave Wand ,2,2,2
Grim Helm ,2,2,2
Grim Shield ,2,2,2
Grim Wand ,2,2,2
Hand Axe ,2,2,2
Hand Scythe ,2,2,2
Hard Leather Armor ,2,2,2
Hatchet ,2,2,2
Hatchet Hands ,2,2,2
Heater ,2,2,2
Heirophant Trophy ,2,2,2
Hellspawn Skull ,2,2,2
Helm ,2,2,2
Hydra Edge ,2,2,2
Hydraskull ,2,2,2
Jo Staff ,2,2,2
Katar ,2,2,2
Leather Armor ,2,2,2
Legend Spike ,2,2,2
Lich Wand ,2,2,2
Luna ,2,2,2
Mace ,2,2,2
Mighty Scepter ,2,2,2
Minion Skull ,2,2,2
Mummified Trophy ,2,2,2
Overseer Skull ,2,2,2
Petrified Wand ,2,2,2
Plate Mail ,2,2,2
Polished Wand ,2,2,2
Preserved Head ,2,2,2
Quilted Armor ,2,2,2
Reinforced Mace ,2,2,2
Round Shield ,2,2,2
Rune Scepter ,2,2,2
Saber ,2,2,2
Sallet ,2,2,2
Scale Mail ,2,2,2
Scepter ,2,2,2
Scimitar ,2,2,2
Serpentskin Armor ,2,2,2
Sexton Trophy ,2,2,2
Shako ,2,2,2
Shamshir ,2,2,2
Short Staff ,2,2,2
Short Sword ,2,2,2
Skull Cap ,2,2,2
Small Shield ,2,2,2
Spiked Club ,2,2,2
Spiked Shield ,2,2,2
Splint Mail ,2,2,2
Stilleto ,2,2,2
Studded Leather ,2,2,2
Succubae Skull ,2,2,2
Tomahawk ,2,2,2
Tomb Wand ,2,2,2
Trellised Armor ,2,2,2
Truncheon ,2,2,2
Tulwar ,2,2,2
Unearthed Wand ,2,2,2
Unraveller Head ,2,2,2
Walking Stick ,2,2,2
War Fist ,2,2,2
War Hat ,2,2,2
Wrist Blade ,2,2,2
Wrist Spike ,2,2,2
Zombie Head ,2,2,2
Bone Visage ,2,2,3
Corona ,2,2,3
Crown ,2,2,3
Death Mask ,2,2,3
Demonhead ,2,2,3
Grand Crown ,2,2,3
Great Helm ,2,2,3
Mask ,2,2,3
Spired Helm ,2,2,3
Winged Helm ,2,2,3
Alpha Helm ,2,3,3
Antlers ,2,3,3
Assault Helmet ,2,3,3
Avenger Guard ,2,3,3
Blade Talons ,2,3,3
Blood Spirt ,2,3,3
Carnage Helm ,2,3,3
Cinquedeas ,2,3,3
Claws ,2,3,3
Conquerer Crown ,2,3,3
Destroyer Helm ,2,3,3
Dream Spirit ,2,3,3
Earth Spirit ,2,3,3
Falcon Mask ,2,3,3
Fanged Helm ,2,3,3
Fanged Knife ,2,3,3
Feral Claws ,2,3,3
Fury Visor ,2,3,3
Greater Claws ,2,3,3
Greater Talons ,2,3,3
Griffon Headress ,2,3,3
Guardian Crown ,2,3,3
Hawk Helm ,2,3,3
Horned Helm ,2,3,3
Hunter's Guise ,2,3,3
Jawbone Cap ,2,3,3
Jawbone Visor ,2,3,3
Kriss ,2,3,3
Lion Helm ,2,3,3
Quhab ,2,3,3
Rage Mask ,2,3,3
Runic Talons ,2,3,3
Sacred Feathers ,2,3,3
Savage Helmet ,2,3,3
Scissors Katar ,2,3,3
Scissors Quhab ,2,3,3
Scissors Suwayyah ,2,3,3
Sky Spirit ,2,3,3
Slayer Guard ,2,3,3
Spirit Mask ,2,3,3
Sun Spirit ,2,3,3
Suwayyah ,2,3,3
Totemic Mask ,2,3,3
Wolf Head ,2,3,3
Wrist Sword ,2,3,3
Clasped Orb ,2,3,3
Cloudy Sphere ,2,3,3
Crystalline Globe ,2,3,3
Demon Heart ,2,3,3
Dimensional Shard ,2,3,3
Dragon Stone ,2,3,3
Eagle Orb ,2,3,3
Eldritch Orb ,2,3,3
Glowing Orb ,2,3,3
Heavenly Stone ,2,3,3
Sacred Globe ,2,3,3
Smoked Sphere ,2,3,3
Sparkling Ball ,2,3,3
Swirling Crystal ,2,3,3
Vortex Orb ,2,3,3
Ancient Shield ,3,3,3
Ancient Sword ,3,3,3
Arbalest ,3,3,3
Barbed Club ,3,3,3
Bardiche ,3,3,3
Blade Barrier ,3,3,3
Breast Plate ,3,3,3
Cuirass ,3,3,3
Devil Star ,3,3,3
Dragon Shield ,3,3,3
Edge Bow ,3,3,3
Espadon ,3,3,3
Gothic Shield ,3,3,3
Grand Scepter ,3,3,3
Holy Water Sprinkler ,3,3,3
Hyperion ,3,3,3
Hyperion Spear ,3,3,3
Jagged Star ,3,3,3
KhalimFlail ,3,3,3
Kite Shield ,3,3,3
Large Shield ,3,3,3
Legend Sword ,3,3,3
Light Crossbow ,3,3,3
Light Plate ,3,3,3
Linked Mail ,3,3,3
